idLaw,wizara,sujet,type,num,date,num_jarida,date_jarida,page_jarida,مجال
1,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئاسة الجمهورية.,مرسوم رئاسي,23-01,02 يناير 2023,1,02 يناير 2023،,6,"المالية, السياسة"
2,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشؤون الخارجية والجالية الوطنية بالخارج.,مرسوم رئاسي,23-02,02 يناير 2023,1,02 يناير 2023،,7,"المالية, السياسة"
3,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الشعبي الوطني.,مرسوم رئاسي,23-03,02 يناير 2023,1,02 يناير 2023،,9,"المالية, السياسة"
4,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس مجلس الأمة.,مرسوم رئاسي,23-04,02 يناير 2023,1,02 يناير 2023،,11,"المالية, السياسة"
5,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف الرئيس الأول للمحكمة العليا.,مرسوم رئاسي,23-05,02 يناير 2023,1,02 يناير 2023،,13,"المالية, السياسة"
6,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس مجلس الدولة.,مرسوم رئاسي,23-06,02 يناير 2023,1,02 يناير 2023،,15,"المالية, السياسة"
7,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف نائب رئيس المجلس الأعلى للقضاء.,مرسوم رئاسي,23-07,02 يناير 2023,1,02 يناير 2023،,17,"المالية, السياسة"
8,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المحكمة الدستورية.,مرسوم رئاسي,23-08,02 يناير 2023,1,02 يناير 2023،,19,"المالية, السياسة"
9,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف الوزير الأول.,مرسوم تنفيذي,23-09,02 يناير 2023,1,02 يناير 2023،,21,"المالية, السياسة"
10,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الداخلية والجماعات المحلية والتهيئة العمرانية.,مرسوم تنفيذي,23-10,02 يناير 2023,1,02 يناير 2023،,23,"المالية, السياسة"
11,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير العدل، حافظ الأختام.,مرسوم تنفيذي,23-11,02 يناير 2023,1,02 يناير 2023،,27,"المالية, السياسة"
12,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير المالية.,مرسوم تنفيذي,23-12,02 يناير 2023,1,02 يناير 2023،,29,"المالية, السياسة"
13,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الطاقة والمناجم.,مرسوم تنفيذي,23-13,02 يناير 2023,1,02 يناير 2023،,32,"المالية, السياسة"
14,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير المجاهدين وذوي الحقوق.,مرسوم تنفيذي,23-14,02 يناير 2023,1,02 يناير 2023،,35,"المالية, السياسة"
15,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشؤون الدينية والأوقاف.,مرسوم تنفيذي,23-15,02 يناير 2023,1,02 يناير 2023،,37,"المالية, السياسة"
16,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التربية الوطنية.,مرسوم تنفيذي,23-16,02 يناير 2023,1,02 يناير 2023،,39,"المالية, السياسة"
17,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التعليم العالي والبحث العلمي.,مرسوم تنفيذي,23-17,02 يناير 2023,1,02 يناير 2023،,42,"المالية, السياسة"
18,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التكوين والتعليم المهنيين.,مرسوم تنفيذي,23-18,02 يناير 2023,1,02 يناير 2023،,45,"المالية, السياسة"
19,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة الثقافة والفنون.,مرسوم تنفيذي,23-19,02 يناير 2023,1,02 يناير 2023،,47,"المالية, السياسة"
20,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الشباب والرياضة.,مرسوم تنفيذي,23-20,02 يناير 2023,1,02 يناير 2023،,49,"المالية, السياسة"
21,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الرقمنة والإحصائيات.,مرسوم تنفيذي,23-21,02 يناير 2023,1,02 يناير 2023،,51,"المالية, السياسة"
22,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير البريد والمواصلات السلكية واللاسلكية.,مرسوم تنفيذي,23-22,02 يناير 2023,1,02 يناير 2023،,53,"المالية, السياسة"
23,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة التضامن الوطني والأسرة وقضايا المرأة.,مرسوم تنفيذي,23-23,02 يناير 2023,1,02 يناير 2023،,56,"المالية, السياسة"
24,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الصناعة.,مرسوم تنفيذي,23-24,02 يناير 2023,1,02 يناير 2023،,58,"المالية, السياسة"
25,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الفلاحة والتنمية الريفية.,مرسوم تنفيذي,23-25,02 يناير 2023,1,02 يناير 2023،,60,"المالية, السياسة"
26,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير السكن والعمران والمدينة.,مرسوم تنفيذي,23-26,02 يناير 2023,1,02 يناير 2023،,62,"المالية, السياسة"
27,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير التجارة وترقية الصادرات.,مرسوم تنفيذي,23-27,02 يناير 2023,1,02 يناير 2023،,64,"المالية, السياسة"
28,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الاتصال.,مرسوم تنفيذي,23-28,02 يناير 2023,1,02 يناير 2023،,66,"المالية, السياسة"
29,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الأشغال العمومية والري والمنشآت القاعدية.,مرسوم تنفيذي,23-29,02 يناير 2023,1,02 يناير 2023،,68,"المالية, السياسة"
30,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير النقل.,مرسوم تنفيذي,23-30,02 يناير 2023,1,02 يناير 2023،,71,"المالية, السياسة"
31,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير السياحة والصناعة التقليدية.,مرسوم تنفيذي,23-31,02 يناير 2023,1,02 يناير 2023،,73,"المالية, السياسة"
32,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الصحة.,مرسوم تنفيذي,23-32,02 يناير 2023,1,02 يناير 2023،,75,"الصحة, المالية, السياسة"
33,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير العمل والتشغيل والضمان الاجتماعي.,مرسوم تنفيذي,23-33,02 يناير 2023,1,02 يناير 2023،,77,"المالية, السياسة"
34,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة العلاقات مع البرلمان.,مرسوم تنفيذي,23-34,02 يناير 2023,1,02 يناير 2023،,79,"المالية, السياسة"
35,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزيرة البيئة والطاقات المتجددة.,مرسوم تنفيذي,23-35,02 يناير 2023,1,02 يناير 2023،,81,"المالية, السياسة"
36,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الصيد البحري والمنتجات الصيدية.,مرسوم تنفيذي,23-36,02 يناير 2023,1,02 يناير 2023،,83,"المالية, السياسة"
37,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير الصناعة الصيدلانية.,مرسوم تنفيذي,23-37,02 يناير 2023,1,02 يناير 2023،,85,"الصحة, المالية, السياسة"
38,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف وزير اقتصاد المعرفة والمؤسسات الناشئة والمؤسسات المصغرة.,مرسوم تنفيذي,23-38,02 يناير 2023,1,02 يناير 2023،,87,"المالية, السياسة"
39,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس مجلس المحاسبة.,مرسوم تنفيذي,23-39,02 يناير 2023,1,02 يناير 2023،,89,"المالية, السياسة"
40,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيسة السلطة العليا للشفافية والوقاية من الفساد ومكافحته.,مرسوم تنفيذي,23-40,02 يناير 2023,1,02 يناير 2023،,91,"المالية, السياسة"
41,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس السلطة الوطنية المستقلة للانتخابات.,مرسوم تنفيذي,23-41,02 يناير 2023,1,02 يناير 2023،,93,"المالية, السياسة"
42,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الوطني الاقتصادي والاجتماعي والبيئي.,مرسوم تنفيذي,23-42,02 يناير 2023,1,02 يناير 2023،,95,"المالية, السياسة"
43,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الإسلامي الأعلى.,مرسوم تنفيذي,23-43,02 يناير 2023,1,02 يناير 2023،,97,"المالية, السياسة"
44,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الأعلى للغة العربية.,مرسوم تنفيذي,23-44,02 يناير 2023,1,02 يناير 2023،,99,"المالية, السياسة"
45,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الوطني لحقوق الإنسان.,مرسوم تنفيذي,23-45,02 يناير 2023,1,02 يناير 2023،,101,"المالية, السياسة"
46,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيسة الأكاديمية الجزائرية للعلوم والتكنولوجيات.,مرسوم تنفيذي,23-46,02 يناير 2023,1,02 يناير 2023،,103,"المالية, السياسة"
47,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الوطني للبحث العلمي والتكنولوجيات.,مرسوم تنفيذي,23-47,02 يناير 2023,1,02 يناير 2023،,105,"المالية, السياسة"
48,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المرصد الوطني للمجتمع المدني.,مرسوم تنفيذي,23-48,02 يناير 2023,1,02 يناير 2023،,107,"المالية, السياسة"
49,وزارة المالية,يتضمن توزيع رخص الالتزام واعتمادات الدفع المفتوحة بعنوان ميزانية الدولة، بموجب قانون المالية لسنة 2023، الموضوعة تحت تصرف رئيس المجلس الأعلى للشباب.,مرسوم تنفيذي,23-49,02 يناير 2023,1,02 يناير 2023،,109,"المالية, السياسة"
50,وزارة المالية,يتضمن تحويل اعتماد في ميزانية الدولة.,مرسوم رئاسي,22-486,31 ديسمبر 2022,2,15 يناير 2023،,6,"المالية, السياسة"
51,وزارة المالية,يتضمن تحويل اعتماد إلى ميزانية تسيير وزارة الداخلية والجماعات المحلية والتهيئة العمرانية.,مرسوم رئاسي,22-487,31 ديسمبر 2022,2,15 يناير 2023،,11,المالية
52,وزارة المالية,يتضمن تحويل اعتماد إلى ميزانية تسيير وزارة الفلاحة والتنمية الريفية.,مرسوم رئاسي,22-488,31 ديسمبر 2022,2,15 يناير 2023،,11,المالية
53,وزارة المالية,يتضمن إحداث باب وتحويل اعتماد إلى ميزانية تسيير وزارة الصحة.,مرسوم رئاسي,22-489,31 ديسمبر 2022,2,15 يناير 2023،,13,"الصحة, المالية"
54,وزارة المالية,يعدل توزيع نفقات ميزانية الدولة للتجهيز لسنة 2022، حسب كل قطاع.,مرسوم تنفيذي,22-480,29 ديسمبر 2022,2,15 يناير 2023،,13,"المالية, السياسة"
55,وزارة المالية,يتضمن إنشاء لجنة عملياتية لتنسيق سياسات وعمليات مكافحة تبييض الأموال وتمويل الإرهاب وتحديد مهامها وتنظيمها وسيرها.,مرسوم تنفيذي,23-50,03 يناير 2023,2,15 يناير 2023،,14,التجارة
56,وزارة العمل والتشغيل والضمان الاجتماعي,"يتضمن تحويل المدرسة العليا للضمان الاجتماعي من ""مدرسة خارج الجامعة"" إلى مدرسة عليا.",مرسوم تنفيذي,23-51,05 يناير 2023,2,15 يناير 2023،,16,Non spécifié
57,وزارة العدل,يحدد شروط وكيفيات اختيار مساعدي المحكمة التجارية المتخصصة.,مرسوم تنفيذي,23-52,14 يناير 2023,2,15 يناير 2023،,17,التجارة
58,وزارة العدل,يحدد دوائر الاختصاص الإقليمي للمحاكم التجارية المتخصصة.,مرسوم تنفيذي,23-53,14 يناير 2023,2,15 يناير 2023،,18,التجارة
59,وزارة المالية,يحدد كيفيات تطبيق المعدل المضاعف للرسم العقاري على الملكيات الثانوية المبنية الشاغرة، ذات الاستعمال السكني.,قرار وزاري مشترك ممضي في 10 نوفمبر 2022,,10 نوفمبر 2022,2,15 يناير 2023،,26,Non spécifié
60,وزارة المالية,يحدد تنظيم مصالح الأمانة العامة لخلية معالجة الاستعلام المالي في مكاتب.,قرار وزاري مشترك ممضي في 21 ديسمبر 2022,,21 ديسمبر 2022,2,15 يناير 2023،,27,Non spécifié
61,وزارة الفلاحة والتنمية الريفية,يحدد كيفيات وآجال مطابقة الأراضي التي تم استصلاحها.,قرار وزاري مشترك ممضي في 29 نوفمبر 2022,,29 نوفمبر 2022,2,15 يناير 2023،,27,الزراعة
62,وزارة العمل والتشغيل والضمان الاجتماعي,يحدد كيفيات دفع اشتراكات الضمان الاجتماعي المتعلقة بالانتساب الإرادي لأفراد الجالية الوطنية بالخارج للنظام الوطني للتقاعد.,قرار وزاري مشترك ممضي في 05 يناير 2023,,05 يناير 2023,2,15 يناير 2023،,27,مجتمع
63,رئاسة الجمهورية,يعدل المرسوم الرئاسي رقم 07-304 المؤرخ في 17 رمضان عام 1428 الموافق 29 سبتمبر سنة 2007 الذي يحدد الشبكة الاستدلالية لمرتبات الموظفين ونظام دفع رواتبهم.,مرسوم رئاسي,23-54,16 يناير 2023,3,17 يناير 2023،,5,Non spécifié
64,رئاسة الجمهورية,يعدل المرسوم الرئاسي رقم 07-307 المؤرخ في 17 رمضان عام 1428 الموافق 29 سبتمبر سنة 2007 الذي يحدد كيفيات منح الزيادة الاستدلالية لشاغلي المناصب العليا في المؤسسات والإدارات العمومية.,مرسوم رئاسي,23-55,16 يناير 2023,3,17 يناير 2023،,7,Non spécifié
65,رئاسة الجمهورية,يعدل المرسوم الرئاسي رقم 07-308 المؤرخ في 17 رمضان عام 1428 الموافق 29 سبتمبر سنة 2007 الذي يحدد كيفيات توظيف الأعوان المتعاقدين وحقوقهم وواجباتهم والعناصر المشكلة لرواتبهم والقواعد المتعلقة بتسييرهم وكذا النظام التأديبي المطبق عليهم.,مرسوم رئاسي,23-56,16 يناير 2023,3,17 يناير 2023،,9,Non spécifié
66,رئاسة الجمهورية,يعدل المرسوم التنفيذي رقم 90-228 المؤرخ في 3 محرم عام 1411 الموافق 25 يوليو سنة 1990 الذي يحدد كيفية منح المرتبات التي تطبق على العمال الذين يمارسون وظائف عليا في الدولة.,مرسوم رئاسي,23-57,16 يناير 2023,3,17 يناير 2023،,10,السياسة
67,وزارة المالية,يتضمن نقل اعتماد في ميزانية تسيير مصالح الوزير الأول.,مرسوم تنفيذي,22-490,31 ديسمبر 2022,3,17 يناير 2023،,13,المالية
68,وزارة المالية,يتضمن نقل اعتماد في ميزانية تسيير وزارة العلاقات مع البرلمان.,مرسوم تنفيذي,22-491,31 ديسمبر 2022,3,17 يناير 2023،,13,المالية
69,وزارة المالية,يعدل توزيع نفقات ميزانية الدولة للتجهيز لسنة 2022، حسب كل قطاع.,مرسوم تنفيذي,22-492,31 ديسمبر 2022,3,17 يناير 2023،,14,"المالية, السياسة"
70,وزارة المالية,يعدل توزيع نفقات ميزانية الدولة للتجهيز لسنة 2022، حسب كل قطاع.,مرسوم تنفيذي,22-493,31 ديسمبر 2022,3,17 يناير 2023،,15,"المالية, السياسة"
71,وزارة المالية,يعدل توزيع نفقات ميزانية الدولة للتجهيز لسنة 2022، حسب كل قطاع.,مرسوم تنفيذي,22-494,31 ديسمبر 2022,3,17 يناير 2023،,15,"المالية, السياسة"
72,وزارة المالية,يعدل توزيع نفقات ميزانية الدولة للتجهيز لسنة 2022، حسب كل قطاع.,مرسوم تنفيذي,22-495,31 ديسمبر 2022,3,17 يناير 2023،,16,"المالية, السياسة"
73,وزارة الدفاع الوطني,يتضمن تغيير تسمية المستشفى العسكري الجامعي المختص في جراحة العظام وإعادة التربية وتركيب الأعضاء بالناحية العسكرية الأولى.,قرار ممضي في 29 ديسمبر 2022,,29 ديسمبر 2022,3,17 يناير 2023،,20,Non spécifié
74,وزارة المالية,يحدد المعاملات والمناطق والمناطق الفرعية المعمول بها لحساب وعاء الرسم العقاري على الممتلكات المبنية وتلك غير المبنية وحساب وعاء الرسم على رفع القمامات المنزلية.,قرار وزاري مشترك ممضي في 10 نوفمبر 2022,,10 نوفمبر 2022,3,17 يناير 2023،,21,Non spécifié
75,وزارة الصناعة,يؤهل مديري الصناعة في الولايات لتمثيل وزير الصناعة في الدعاوى المرفوعة أمام العدالة.,قرار ممضي في 30 أكتوبر 2022,,30 أكتوبر 2022,3,17 يناير 2023،,28,Non spécifié
76,وزارة النقل,يعدل ويتمم القرار المؤرخ في 18 رمضان عام 1408 الموافق 5 مايو سنة 1988 الذي يحدد القواعد الإدارية المتعلقة برقم تسجيل المركبات ذاتية الحركة.,قرار ممضي في 04 ديسمبر 2022,,04 ديسمبر 2022,3,17 يناير 2023،,28,Non spécifié
77,وزارة السياحة والصناعة التقليدية,يعدل القرار الوزاري المشترك المؤرخ في 28 جمادى الثانية عام 1433 الموافق 20 مايو سنة 2012 الذي يحدد تنظيم مديرية السياحة والصناعة التقليدية للولاية في مكاتب.,قرار وزاري مشترك ممضي في 07 سبتمبر 2022,,07 سبتمبر 2022,3,17 يناير 2023،,29,Non spécifié
78,وزارة السياحة والصناعة التقليدية,يعدل القرار المؤرخ في 25 رجب عام 1442 الموافق 9 مارس سنة 2021 والمتضمن تعيين أعضاء مجلس إدارة الوكالة الوطنية لتنمية السياحة.,قرار ممضي في 11 سبتمبر 2022,,11 سبتمبر 2022,3,17 يناير 2023،,30,السياسة
79,وزارة العمل والتشغيل والضمان الاجتماعي,يتمم القرار الوزاري المشترك المؤرخ في 20 صفر عام 1425 الموافق 10 أبريل سنة 2004 الذي يحدد تنظيم مديرية التشغيل في الولاية.,قرار وزاري مشترك ممضي في 27 أكتوبر 2022,,27 أكتوبر 2022,3,17 يناير 2023،,31,Non spécifié
80,وزارة العمل والتشغيل والضمان الاجتماعي,يعدل القرار الوزاري المشترك المؤرخ في 11 رجب عام 1426 الموافق 16 غشت سنة 2005 الذي يحدد عدد مكاتب مفتشية العمل وتنظيمها واختصاصها الإقليمي.,قرار وزاري مشترك ممضي في 27 أكتوبر 2022,,27 أكتوبر 2022,3,17 يناير 2023،,31,Non spécifié
81,وزارة البيئة والطاقات المتجددة,يتضمن تعيين أعضاء اللجنة الجهوية تل بحر للواجهة البحرية الوسطى.,قرار ممضي في 23 نوفمبر 2022,,23 نوفمبر 2022,3,17 يناير 2023،,33,Non spécifié
82,وزارة البيئة والطاقات المتجددة,يتضمن تعيين أعضاء اللجنة الجهوية تل بحر للواجهة البحرية الغربية.,قرار ممضي في 23 نوفمبر 2022,,23 نوفمبر 2022,3,17 يناير 2023،,33,Non spécifié
83,وزارة البيئة والطاقات المتجددة,يتضمن تعيين أعضاء اللجنة الجهوية تل بحر للواجهة البحرية الشرقية.,قرار ممضي في 23 نوفمبر 2022,,23 نوفمبر 2022,3,17 يناير 2023،,34,Non spécifié
84,وزارة المالية,يتضمن نشر قائمة البنوك وقائمة المؤسسات المالية المعتمدة في الجزائر.,مقرر,23-01,05 يناير 2023,3,17 يناير 2023،,34,المالية
85,المحكمة الدستورية,يحدد قواعد عمل المحكمة الدستورية.,نظام ممضي في 05 سبتمبر 2022,,05 سبتمبر 2022,4,22 يناير 2023،,5,Non spécifié
86,وزارة الدفاع الوطني,يتضمن تجديد انتداب قاض لدى وزارة الدفاع الوطني، بصفته رئيسا للمحكمة العسكرية بتامنغست/الناحية العسكرية السادسة.,قرار وزاري مشترك ممضي في 10 يناير 2023,,10 يناير 2023,4,22 يناير 2023،,18,Non spécifié
87,وزارة الدفاع الوطني,يتضمن إنهاء مهام قاض عسكري.,قرار ممضي في 16 يناير 2023,,16 يناير 2023,4,22 يناير 2023،,18,Non spécifié
88,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يحدد قائمة المناصب العليا للمندوبية الوطنية للأمن في الطرق وشروط التعيين بهذه المناصب وكذا الزيادة الاستدلالية المرتبطة بها.,قرار وزاري مشترك ممضي في 12 ديسمبر 2022,,12 ديسمبر 2022,4,22 يناير 2023،,19,Non spécifié
89,وزارة البريد والمواصلات السلكية واللاسلكية,يحدد كيفيات الدخول المؤقت وإعادة تصدير التجهيزات الحساسة للمواصلات السلكية واللاسلكية وتصديرها المؤقت وإعادة استيرادها.,قرار وزاري مشترك ممضي في 16 نوفمبر 2022,,16 نوفمبر 2022,4,22 يناير 2023،,21,Non spécifié
90,المجلس الأعلى للشباب,يتضمن الموافقة على النظام الداخلي للمجلس الأعلى للشباب.,مرسوم رئاسي,23-58,25 يناير 2023,5,29 يناير 2023،,5,Non spécifié
91,وزارة المالية,يعدل المرسوم التنفيذي رقم 04-331 المؤرخ في 4 رمضان عام 1425 الموافق 18 أكتوبر سنة 2004 والمتضمن تنظيم نشاطات صنع المواد التبغية واستيرادها وتوزيعها.,مرسوم تنفيذي,23-59,26 يناير 2023,5,29 يناير 2023،,17,Non spécifié
92,وزارة العمل والتشغيل والضمان الاجتماعي,يعدل المرسوم التنفيذي رقم 22-70 المؤرخ في 9 رجب عام 1443 الموافق 10 فبراير سنة 2022 الذي يحدد شروط وكيفيات الاستفادة من منحة البطالة ومبلغها وكذا التزامات المستفيدين منها.,مرسوم تنفيذي,23-60,26 يناير 2023,5,29 يناير 2023،,17,السياسة
93,وزارة المالية,يحدد كيفيات تطبيق الرسم على التكوين المهني المتواصل والرسم على التمهين.,قرار وزاري مشترك ممضي في 21 ديسمبر 2022,,21 ديسمبر 2022,5,29 يناير 2023،,22,Non spécifié
94,وزارة المالية,يعدل ويتمم القرار الوزاري المشترك المؤرخ في أول صفر عام 1432 الموافق 6 يناير سنة 2011 الذي يحدد تعداد مناصب الشغل وتصنيفها ومدة العقد الخاص بالأعوان العاملين في نشاطات الحفظ أو الصيانة أو الخدمات على مستوى خلية معالجة الاستعلام المالي.,قرار وزاري مشترك ممضي في 11 يناير 2023,,11 يناير 2023,5,29 يناير 2023،,30,Non spécifié
