idLaw,wizara,sujet,type,num,date,num_jarida,date_jarida,page_jarida,مجال
623,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير الأشغال العمومية والري والمنشآت القاعدية.,مرسوم رئاسي,23-263,03 يوليو 2023,47,12 يوليو 2023،,10,"المالية, السياسة"
624,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير النقل.,مرسوم رئاسي,23-264,03 يوليو 2023,47,12 يوليو 2023،,11,"المالية, السياسة"
625,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير السياحة والصناعة التقليدية.,مرسوم رئاسي,23-265,03 يوليو 2023,47,12 يوليو 2023،,12,"المالية, السياسة"
626,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير الصحة.,مرسوم رئاسي,23-266,03 يوليو 2023,47,12 يوليو 2023،,13,"الصحة, المالية, السياسة"
627,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف رئيس السلطة الوطنية المستقلة للانتخابات.,مرسوم رئاسي,23-267,03 يوليو 2023,47,12 يوليو 2023،,13,"المالية, السياسة"
628,وزارة التكوين والتعليم المهنيين,يحدد كيفيات توجيه المترشحين نحو مناصب التمهين لتنصيبهم لدى المستخدمين كمتمهنين.,مرسوم تنفيذي,23-270,04 يوليو 2023,47,12 يوليو 2023،,14,Non spécifié
629,وزارة الدفاع الوطني,يتضمن تعيين المؤسسة العمومية الاستشفائية إن أميناس (ولاية إيليزي) مستشفى مختلطا.,قرار وزاري مشترك ممضي في 26 يونيو 2023,,26 يونيو 2023,47,12 يوليو 2023،,21,الصحة
630,وزارة الدفاع الوطني,يتضمن إنهاء استخلاف رئاسة مجلس الاستئناف العسكري بالبليدة/الناحية العسكرية الأولى.,قرار ممضي في 04 يوليو 2023,,04 يوليو 2023,47,12 يوليو 2023،,21,Non spécifié
631,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يحدد تشكيلة اللجنة المركزية لإعداد مشروع المخطط التوجيهي القطاعي للتكوين والتعليم المهنيين وكيفيات عملها.,قرار وزاري مشترك ممضي في 30 أبريل 2023,,30 أبريل 2023,47,12 يوليو 2023،,21,Non spécifié
632,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يحدد تشكيلة اللجنة المركزية لإعداد مشروع المخطط التوجيهي القطاعي للصحة وكيفيات عملها.,قرار وزاري مشترك ممضي في 30 أبريل 2023,,30 أبريل 2023,47,12 يوليو 2023،,23,Non spécifié
633,وزارة الشباب والرياضة,يحدد القائمة الاسمية لأعضاء المجلس التنفيذي للجنة العليا المنظـمة لدورة الألعاب الرياضية العربية الخامسة عشر - الجزائر 2023.,قرار ممضي في 20 يونيو 2023,,20 يونيو 2023,47,12 يوليو 2023،,25,Non spécifié
634,وزارة الفلاحة والتنمية الريفية,يعدل القرار المؤرخ في 4 ربيع الأول عام 1443 الموافـق 11 أكتوبر سنة 2021 والمتضمن تعيين أعضاء مجلس توجيه الحظيرة الوطنية لقوراية (ولاية بجاية).,قرار ممضي في 10 أبريل 2023,,10 أبريل 2023,47,12 يوليو 2023،,25,Non spécifié
635,وزارة الفلاحة والتنمية الريفية,يعدل القرار المؤرخ في 10 شعبان عام 1443 الموافق 13 مارس سنة 2022 والمتضمن تعيين أعضاء مجلس توجيه الحظيرة الوطنية للقالة (ولاية الطارف).,قرار ممضي في 10 أبريل 2023,,10 أبريل 2023,47,12 يوليو 2023،,26,Non spécifié
636,وزارة الفلاحة والتنمية الريفية,يعدل القرار المؤرخ في 9 صفر عام 1442 الموافق 27 سبتمبر سنة 2020 والمتضمن تعيين أعضاء اللجنـة القطاعية للصفقات لـوزارة الفلاحة والتنمية الريفية.,قرار ممضي في 16 أبريل 2023,,16 أبريل 2023,47,12 يوليو 2023،,26,Non spécifié
637,المجلس الوطني لحقوق الانسان,يحدد عدد المناصب العليا ذات الطابع الوظيفي للموظفين المنتمين للأسلاك المشتركة في المؤسسات والإدارات العمومية، بعنوان المجلس الوطني لحقوق الإنسان.,قرار وزاري مشترك ممضي في 04 مايو 2023,,04 مايو 2023,47,12 يوليو 2023،,26,Non spécifié
638,المجلس الوطني لحقوق الانسان,يتمم القرار الوزاري المشترك المؤرخ في أول رجب عام 1441 الموافق 25 فبراير سنة 2020 الذي يحدد عدد المناصب العليا الخاصة بالعمال المهنيين وسائقي السيارات والحجاب، بعنوان المجلس الوطني لحقوق الإنسان.,قرار وزاري مشترك ممضي في 04 مايو 2023,,04 مايو 2023,47,12 يوليو 2023،,27,Non spécifié
639,وزارة المالية,يحددقائمة المناصب العليا للمصالح الخارجية التابعة للمديرية العامة للأملاك الوطنية وشروط الالتحاق بها وتصنيفها وكذا الزيادة الاستدلالية المرتبطة بها.,مرسوم تنفيذي,23-271,08 يوليو 2023,48,16 يوليو 2023،,5,Non spécifié
640,وزارة التكوين والتعليم المهنيين,يتضمن إنشاء معهد وطني متخصص في التكوين المهني.,مرسوم تنفيذي,23-272,08 يوليو 2023,48,16 يوليو 2023،,9,Non spécifié
641,وزارة الأشغال العمومية والمنشآت القاعدية,يعدل المرسوم التنفيذي رقم 18-312 المؤرخ في 2 ربيع الثاني عام 1440 الموافق 10 ديسمبر سنة 2018 والمتضمن التصريح بالمنفعة العمومية للعملية المتعلقة بإنجاز ازدواج وتحديث وتصحيح خط السكة الحديدية المنجمي شرق.,مرسوم تنفيذي,23-273,08 يوليو 2023,48,16 يوليو 2023،,9,Non spécifié
642,وزارة الري,يتضمن التصريح بالمنفعة العمومية للعملية المتعلقة بتدعيم التزويد بالمياه الصالحة للشرب لبلديات ولايتي ميلة وجيجل انطلاقا من سد تابلوط.,مرسوم تنفيذي,23-274,13 يوليو 2023,48,16 يوليو 2023،,10,Non spécifié
